bucket,counterfactual_background_mass_in_gt_stuff,counterfactual_background_mass_in_gt_thing,counterfactual_best_group,counterfactual_best_gt_area,counterfactual_best_iou,counterfactual_best_precision,counterfactual_best_pred_area,counterfactual_best_recall,counterfactual_best_soft_dice,counterfactual_conservation_error,counterfactual_group_mass_in_gt_stuff,counterfactual_group_mass_in_gt_thing,counterfactual_gt_free_detected,counterfactual_gt_free_fp,counterfactual_n_gt_free_predictions,gt_stuff_area,gt_thing_area,instance_key,kind,original_background_mass_in_gt_stuff,original_background_mass_in_gt_thing,original_best_group,original_best_gt_area,original_best_iou,original_best_precision,original_best_pred_area,original_best_recall,original_best_soft_dice,original_conservation_error,original_group_mass_in_gt_stuff,original_group_mass_in_gt_thing,original_gt_free_detected,original_gt_free_fp,original_n_gt_free_predictions,role,scene,view
large,0.0,,,,,,,,,1.3113021850585938e-06,0.9996677041053772,,,4,4,65478,0,8006,novel,0.6461026072502136,,,,,,,,,1.1920928955078125e-06,0.3535650670528412,,,3,3,failure,scene0007_00,2
large,0.0,0.0,14,10749,0.008513165709760443,0.017866417367819673,9627,0.01600148851055912,0.8813470602035522,8.344650268554688e-07,0.42816147208213806,0.17835639417171478,False,2,2,28496,10749,8006,novel,0.1496105045080185,0.0077195544727146626,14,10749,0.010001852194850898,0.028877005347593583,5610,0.01507116941110801,0.8669205904006958,8.344650268554688e-07,0.2785509526729584,0.17063681781291962,False,2,2,failure,scene0007_00,3
large,0.0,0.0,62,9387,0.29089003667939217,0.30960442974943236,25103,0.8279535527857675,0.5480635166168213,1.4901161193847656e-06,0.997901439666748,0.996336042881012,False,7,7,42417,9387,20017,context,0.5382260680198669,0.16760101914405823,62,9387,0.5739773716275022,0.7582202805242585,8698,0.7025673804197294,0.3995624780654907,1.4901161193847656e-06,0.4596753716468811,0.8287349343299866,True,4,5,failure,scene0009_00,0
large,0.0,0.0,62,13130,0.3609850939727803,0.4792870313460357,16270,0.5939070830159939,0.5134406685829163,1.2516975402832031e-06,0.9811389446258545,0.9948998689651489,False,5,5,38079,13130,20017,context,0.544426441192627,0.37999221682548523,22,13130,0.1506271795138708,0.32237941405814863,8977,0.2204112718964204,0.7384628057479858,1.3709068298339844e-06,0.4367125332355499,0.6149076819419861,False,4,4,failure,scene0009_00,1
large,0.0,0.0,62,12236,0.29287648212118383,0.3211068650197898,29308,0.7691238966982674,0.5548034906387329,1.3709068298339844e-06,0.9975827932357788,0.9929834008216858,False,7,7,50834,12236,20017,novel,0.49478891491889954,0.28409963846206665,62,12236,0.35554990787216467,0.6150126387515111,9099,0.45733899967309577,0.4972672462463379,1.4901161193847656e-06,0.5027939677238464,0.7088837623596191,False,5,5,failure,scene0009_00,2
large,0.0,0.0,62,12316,0.24218827661619008,0.29036230732559987,25172,0.5934556674244885,0.6339534521102905,1.3709068298339844e-06,0.988376796245575,0.9949436187744141,False,6,6,47791,12316,20017,novel,0.4576917886734009,0.37654349207878113,22,12316,0.17419099716601857,0.48054545454545455,5500,0.2145988957453719,0.722923755645752,1.5497207641601562e-06,0.5306849479675293,0.6184000968933105,False,5,5,failure,scene0009_00,3
large,0.0,0.0,65,17620,0.43683857312477414,0.8285518456868697,10213,0.48024971623155505,0.41947877407073975,1.3709068298339844e-06,0.9998182058334351,0.9992265105247498,False,6,6,11800,17620,8019,context,0.5049222707748413,0.14496898651123047,65,17620,0.3812652728753733,0.8982855680655066,7816,0.39846765039727583,0.4615144729614258,1.1920928955078125e-06,0.49489593505859375,0.8542576432228088,False,5,5,failure,scene0012_01,0
large,0.0,0.0,14,28443,0.3245789825264564,1.0,9232,0.3245789825264564,0.5067199468612671,1.3709068298339844e-06,0.9505512118339539,0.9799571633338928,False,6,6,3692,28443,8019,context,0.26738110184669495,0.14417515695095062,14,28443,0.2993003550961572,1.0,8513,0.2993003550961572,0.5361343026161194,1.4901161193847656e-06,0.6831700801849365,0.8357820510864258,False,6,6,failure,scene0012_01,1
large,0.0,0.0,65,20535,0.36735332231109524,0.8167908594138102,10065,0.4003408814219625,0.4590793251991272,1.1324882507324219e-06,0.9979937076568604,0.9973673224449158,False,6,6,8757,20535,8019,novel,0.44860273599624634,0.13656197488307953,65,20535,0.3228800450007031,0.8961748633879781,7686,0.33542731921110297,0.4973980188369751,1.1920928955078125e-06,0.549390971660614,0.8608052730560303,False,6,6,failure,scene0012_01,2
large,0.0,0.0,14,27870,0.3384642985288841,1.0,9433,0.3384642985288841,0.49427562952041626,1.2516975402832031e-06,0.9608519673347473,0.9860472679138184,False,6,6,4497,27870,8019,novel,0.3137649595737457,0.13810524344444275,14,27870,0.31489056332974524,1.0,8776,0.31489056332974524,0.5215907096862793,1.2516975402832031e-06,0.6470869779586792,0.8479418754577637,False,6,6,failure,scene0012_01,3
large,0.0,0.0,22,13453,0.3049127803488786,0.6017564402810305,8540,0.3819965806883223,0.5233636498451233,1.3709068298339844e-06,0.9980962872505188,0.9998228549957275,False,6,6,4379,13453,6002,context,0.6110565066337585,0.1520727574825287,22,13453,0.30350459339911534,0.782181690634865,5702,0.3315245670110756,0.5318608283996582,1.4901161193847656e-06,0.38703978061676025,0.8477500081062317,False,5,5,success_reference,scene0001_01,0
large,0.0,0.0,65,6160,0.13552535792283427,0.34917161613004066,3199,0.18133116883116884,0.5967168807983398,1.2516975402832031e-06,0.9998547434806824,0.9994648098945618,False,5,5,6158,6160,6002,context,0.3357854187488556,0.16978669166564941,62,6160,0.15917228551499651,0.1823849104859335,18768,0.5556818181818182,0.7183324694633484,1.1324882507324219e-06,0.6640694737434387,0.8296781182289124,False,5,5,success_reference,scene0001_01,1
