delta,group,gt_area,iou1,iou2,iou3,key,scene,top1_area_over_gt,union3_area_over_gt,union3_intrusion_other_gt_fraction,variant,view
0.0,training,4838,0.008692120227457351,0.005074456985677701,0.004870721048798252,8001,scene0012_01,1.5665564282761473,3.562835882596114,0.9122237048210246,g0plus_step6000,3
0.0,training,1497,0.5227272727272727,0.12698412698412698,0.11800545133878468,8017,scene0012_01,1.8643954575818302,8.315965263861056,0.7049562213832437,g0plus_step6000,3
0.23474327107230103,training,27870,0.31489056332974524,0.5496338344020463,0.4956152446086813,8019,scene0012_01,0.31489056332974524,0.9459634015069968,0.005499924138977394,g0plus_step6000,3
0.0,training,433,0.004765487835465262,0.0022686567164179106,0.0021551724137931034,8020,scene0012_01,17.503464203233257,39.80831408775982,0.9162267215872831,g0plus_step6000,3
0.0,training,323,0.023681377825618945,0.02217741935483871,0.00782416957109325,18009,scene0009_00,13.721362229102168,42.86687306501548,0.42524916943521596,g0plus_step6000,2
0.0,training,12236,0.35554990787216467,0.3268778791012504,0.28511843865585895,20017,scene0009_00,0.7436253677672442,1.669172932330827,0.005385820603211908,g0plus_step6000,2
0.0,training,1504,0.034564254062038405,0.02656675749318801,0.013185327097537612,18009,scene0009_00,3.6569148936170213,10.955452127659575,0.2640043697274989,g0plus_step6000,3
0.019962093661921615,training,12316,0.17419099716601857,0.1941530908279402,0.1758648375047998,20017,scene0009_00,0.4465735628450796,1.735060084443001,0.010950442229397726,g0plus_step6000,3
0.010591944454284602,training,16505,0.21357469269191257,0.22416663714619717,0.21209988268811797,5010,scene0001_01,1.0756134504695547,1.1910330202968797,0.4168277546037237,g0plus_step6000,2
0.0,training,5775,0.15248591721773205,0.14683153013910355,0.13782834453268172,5018,scene0001_01,3.074112554112554,4.160519480519481,0.46859782744412537,g0plus_step6000,2
0.10930925360141366,training,12691,0.13669118470671696,0.20031755409497082,0.24600043830813062,6002,scene0001_01,1.3988653376408478,1.6879678512331573,0.43189244701708523,g0plus_step6000,2
0.0,training,915,0.045624222314392365,0.005455266812140448,0.004948935978764566,7006,scene0001_01,1.7551912568306012,23.4120218579235,0.7411539538791896,g0plus_step6000,2
0.0,training,149,0.031919451585261355,0.023748804590372968,0.006201356806925542,7007,scene0001_01,31.328859060402685,161.25503355704697,0.6126441087110335,g0plus_step6000,2
0.0505699776270464,training,16394,0.22262864448311376,0.27319862211016016,0.27078493488208377,5010,scene0001_01,1.1000365987556424,1.2022081249237526,0.3637424526865899,g0plus_step6000,3
0.0,training,6389,0.1534973787370708,0.13877398919321782,0.13748800118142213,5018,scene0001_01,2.822663953670371,3.8223509156362496,0.4370418901764874,g0plus_step6000,3
0.06551037822400907,training,11064,0.1442390876917027,0.2,0.20974946591571178,6002,scene0001_01,1.6299710773680405,1.8149855386840203,0.474030177779991,g0plus_step6000,3
0.0,training,724,0.07607843137254902,0.07319649864171446,0.019667477696674776,7007,scene0001_01,8.475138121546962,33.73066298342541,0.5696736415380206,g0plus_step6000,3
0.03483880972737155,unseen,5909,0.23243456012595945,0.267273369853331,0.18430293807795856,5010,scene0059_00,1.119478761211711,2.42443729903537,0.5270836241798129,g0_step6000,2
0.0,unseen,3767,0.20508239031169348,0.19783505771185933,0.14638892574410686,5011,scene0059_00,3.834085479161136,5.881072471462702,0.6756793355601697,g0_step6000,2
0.0,unseen,406,0.0,0.0,0.0,5016,scene0059_00,5.802955665024631,25.43103448275862,0.7353026634382567,g0_step6000,2
0.0,unseen,1985,0.20856887831002677,0.1473263811848236,0.05936912292699607,5019,scene0059_00,1.0463476070528968,11.486146095717885,0.594078947368421,g0_step6000,2
