context_visible,group,gt_area,key,oracle_iou,oracle_pred_area,scene,variant,view
True,unseen,2954,20009,0.21038629349792487,8420,scene0559_01,g0_step6000,2
True,unseen,27443,6002,0.643584356819651,33580,scene0559_01,g0_step6000,3
True,unseen,4609,6003,0.4724046549141606,8170,scene0559_01,g0_step6000,3
True,unseen,986,7015,0.0,0,scene0559_01,g0_step6000,3
True,unseen,5792,8013,0.503871248368856,11495,scene0559_01,g0_step6000,3
True,unseen,3799,20009,0.2460478671730107,10310,scene0559_01,g0_step6000,3
True,unseen,34911,6006,0.5435479853023604,64228,scene0568_02,g0_step6000,2
True,unseen,34354,6006,0.5310886436013975,64686,scene0568_02,g0_step6000,3
True,unseen,8561,5021,0.3451813077799823,23305,scene0615_00,g0_step6000,2
True,unseen,1682,8001,0.055593685655456415,4470,scene0615_00,g0_step6000,2
True,unseen,17859,13012,0.43381770145310433,36411,scene0615_00,g0_step6000,2
True,unseen,8470,5021,0.34344422700587085,23109,scene0615_00,g0_step6000,3
True,unseen,1815,8001,0.07037179981988936,6505,scene0615_00,g0_step6000,3
True,unseen,17432,13012,0.44071458246780226,34585,scene0615_00,g0_step6000,3
True,unseen,4571,20017,0.20788611970165544,21988,scene0695_00,g0_step6000,2
True,unseen,622,20017,0.03447702455517987,18041,scene0695_00,g0_step6000,3
True,training,94,8059,0.008436546401005206,11142,scene0000_02,g0_step6000,2
True,training,256,8059,0.016127000125992188,15874,scene0000_02,g0_step6000,3
True,training,501,8049,0.06186712768584836,8098,scene0016_01,g0_step6000,2
True,training,132,14030,0.022132796780684104,5964,scene0016_01,g0_step6000,2
True,training,264,8049,0.03616438356164384,7300,scene0016_01,g0_step6000,3
True,training,78,14030,0.013610190193683477,5731,scene0016_01,g0_step6000,3
True,training,10749,8006,0.20209653827401267,4044,scene0007_00,g0_step6000,3
True,training,9352,8024,0.12153138447840926,13322,scene0007_00,g0_step6000,3
True,training,1293,5002,0.5023094688221709,1309,scene0012_01,g0_step6000,2
True,training,4193,8001,0.6903032891926527,3721,scene0012_01,g0_step6000,2
True,training,7755,8017,0.3772254110322016,20558,scene0012_01,g0_step6000,2
True,training,20535,8019,0.554978426361063,36046,scene0012_01,g0_step6000,2
True,training,332,8020,0.0,1288,scene0012_01,g0_step6000,2
True,training,4838,8001,0.6369316209649427,4594,scene0012_01,g0_step6000,3
True,training,1497,8017,0.09335827876520113,16035,scene0012_01,g0_step6000,3
True,training,27870,8019,0.6435995295360168,40604,scene0012_01,g0_step6000,3
