alpha_coverage_in_gt,best_group,best_group_kept,best_iou,bucket,checkpoint,conservation_error,full_pixel_argmin_group,gt_area,gt_free_detected,instance_key,kind,mask_grad_norm,matched_group,matched_iou,matched_is_thing_class,matched_p_thing,matched_precision,matched_pred_area,matched_recall,matched_soft_dice,mean_background_mass_in_gt,mean_group_mass_in_gt,positive_sampled_points,role,sampled_bce,sampled_dice,scene,view
0.9998946785926819,52,True,0.33373963920039007,mid,g0_step6000,1.2516975402832031e-06,52,4082,False,8001,context,0.4712647497653961,35,0.0,True,0.8243545889854431,0.0,0,0.0,0.8531443476676941,4.860624706545802e-14,0.9998946785926819,226,failure,0.17078453302383423,0.8385728597640991,scene0012_01,1
0.9998947978019714,52,True,0.11348937480751463,mid,g0_step6000,1.3113021850585938e-06,52,4193,False,8001,novel,0.4712647497653961,35,0.0,True,0.8243545889854431,0.0,0,0.0,0.8112563490867615,6.870933401230406e-14,0.9998946785926819,226,failure,0.17078453302383423,0.8385728597640991,scene0012_01,2
0.9998897314071655,52,True,0.3498233215547703,mid,g0_step6000,1.2516975402832031e-06,52,4838,False,8001,novel,0.4712647497653961,35,0.0,True,0.8243545889854431,0.0,0,0.0,0.8394165635108948,4.729959710036459e-14,0.9998897314071655,226,failure,0.17078453302383423,0.8385728597640991,scene0012_01,3
0.9972354173660278,22,True,0.15532286212914484,mid,g0plus_step3000,1.0728836059570312e-06,22,3665,False,8001,context,1.641372799873352,14,0.0,True,0.862249493598938,0.0,0,0.0,0.966512143611908,0.3231515884399414,0.6740838885307312,226,failure,0.2472204715013504,0.9712509512901306,scene0012_01,0
0.9884934425354004,22,True,0.028563348416289592,mid,g0plus_step3000,1.0132789611816406e-06,22,4082,False,8001,context,1.641372799873352,14,0.0,True,0.862249493598938,0.0,0,0.0,0.975376546382904,0.3610577881336212,0.6274356245994568,226,failure,0.2472204715013504,0.9712509512901306,scene0012_01,1
0.991741955280304,22,True,0.11599471249173827,mid,g0plus_step3000,1.0132789611816406e-06,22,4193,False,8001,novel,1.641372799873352,14,0.0,True,0.862249493598938,0.0,0,0.0,0.9696986079216003,0.337303102016449,0.6544387936592102,226,failure,0.2472204715013504,0.9712509512901306,scene0012_01,2
0.980999767780304,22,True,0.03258052573121066,mid,g0plus_step3000,1.0728836059570312e-06,22,4838,False,8001,novel,1.641372799873352,14,0.0,True,0.862249493598938,0.0,0,0.0,0.975045919418335,0.36526989936828613,0.6157299280166626,226,failure,0.2472204715013504,0.9712509512901306,scene0012_01,3
0.9998947381973267,65,True,0.048014605203103605,mid,g0plus_step6000,1.2516975402832031e-06,22,3665,False,8001,context,0.566576361656189,22,0.0,True,0.9018821120262146,0.0,0,0.0,0.6955810785293579,0.08646554499864578,0.9134292006492615,226,failure,0.10124948620796204,0.7020275592803955,scene0012_01,0
0.9998946785926819,65,True,0.006189821182943604,mid,g0plus_step6000,1.3113021850585938e-06,22,4082,False,8001,context,0.566576361656189,22,0.0,True,0.9018821120262146,0.0,0,0.0,0.7039364576339722,0.19751575589179993,0.8023790121078491,226,failure,0.10124948620796204,0.7020275592803955,scene0012_01,1
0.9998947978019714,65,True,0.01965665236051502,mid,g0plus_step6000,1.1324882507324219e-06,22,4193,False,8001,novel,0.566576361656189,22,0.0,True,0.9018821120262146,0.0,0,0.0,0.6839290857315063,0.1259685903787613,0.8739262223243713,226,failure,0.10124948620796204,0.7020275592803955,scene0012_01,2
